outcome,overall_feature,n,feature_positive_n,outcome_positive_n,both_positive_n,odds_ratio,fisher_p,phi
I_design,User (who)__Individual,153,110,91,57,0.2847,0.0019,0.2495
I_design,User (who)__Group,153,45,91,37,4.6250,0.0003,0.2991
I_design,User (who)__Public,153,27,91,20,2.2133,0.1296,0.1376
I_design,"Topic (what)__Entertainment, Sports
&Culture",153,25,91,9,0.3155,0.0134,0.2113
I_design,"Topic (what)__Environment 
(Surroudings/Nature), 
Geography&Ecology",153,35,91,23,1.4093,0.4377,0.0692
I_design,"Topic (what)__Health, Life 
& Emotion",153,34,91,28,4.1481,0.0026,0.2491
I_design,Topic (what)__Science,153,11,91,5,0.5426,0.3542,0.0795
I_design,"Topic (what)__Society&History
(include media)",153,27,91,11,0.3953,0.0329,0.1767
I_design,"Topic (what)__Industry, Architecture&Engineering",153,20,91,15,2.2500,0.1495,0.1226
I_design,Topic (what)__Unspecified&Mixed Topics,153,14,91,11,2.7042,0.1595,0.1234
I_design,Presentation (how)__XR,153,92,91,42,0.2057,0.0000,0.3458
I_design,Presentation (how)__Event,153,8,91,7,5.0833,0.1434,0.1341
I_design,Presentation (how)__Artifact,153,45,91,38,5.6334,0.0001,0.3283
I_design,Presentation (how)__Installation,153,26,91,19,2.0734,0.1320,0.1253
I_design,Presentation (how)__comprehension,153,72,91,28,0.1818,0.0000,0.3954
I_design,Goal (why)__communication,153,106,91,54,0.2807,0.0013,0.2610
I_design,Goal (why)__archive,153,21,91,17,3.3311,0.0333,0.1745
I_design,Goal (why)__engagement,153,48,91,39,4.4167,0.0002,0.2999
I_design,Goal (why)__reflection,153,94,91,47,0.3409,0.0038,0.2437
I_design,Goal (why)__analysis,153,51,91,41,4.2640,0.0002,0.3012
I_design,"data origin (when) historical, live, predictive, synthesized__Environmental data",153,31,91,23,2.2831,0.0682,0.1511
I_design,"data origin (when) historical, live, predictive, synthesized__Participant-generated",153,37,91,32,6.1831,0.0001,0.3107
I_design,"data origin (when) historical, live, predictive, synthesized__Collected&Uploaded",153,97,91,46,0.2205,0.0001,0.3232
I_design,"data origin (when) historical, live, predictive, synthesized__Unspecified",153,1,91,1,,1.0000,0.0670
I_design,representation form (how)__visual,153,146,91,86,0.5733,0.7016,0.0533
I_design,representation form (how)__haptic,153,38,91,34,8.6491,0.0000,0.3512
I_design,representation form (how)__sound,153,8,91,7,5.0833,0.1434,0.1341
I_design,"representation form (how)__other (taste, smell，action)",153,5,91,4,2.8046,0.6488,0.0768
I_design,Scale__small,153,30,91,23,2.6576,0.0385,0.1729
